No,Column1,location,stdt,eddt,damagearea,경도,위도,상태
1,0,경기평택,2019-08-26,2019-08-26,0.01,127.0037131,37.02303199,인근좌표
2,1,경기포천,2019-09-29,2019-09-30,0.16,127.237579,37.96766787,인근좌표
3,2,경기평택,2019-10-12,2019-10-12,0.03,127.0037131,37.02303199,인근좌표
4,3,경기안양,2019-10-19,2019-10-19,0.01,126.9027706,37.40454384,인근좌표
5,4,경기가평,2019-11-07,2019-11-07,0.25,127.4076594,37.8112458,인근좌표
6,5,경기남양주,2019-11-09,2019-11-09,0.01,127.2580035,37.64296989,인근좌표
7,6,경기성남,2019-11-21,2019-11-21,0.01,127.1037334,37.43511843,인근좌표
8,7,경기양평,2019-11-28,2019-11-28,0.09,127.5810959,37.51899594,인근좌표
9,8,경기광주,2019-11-28,2019-11-28,0.1,127.2917767,37.4004581,인근좌표
10,9,경기파주,2019-11-29,2019-11-29,0.01,126.8077119,37.84944357,인근좌표
11,10,경기광주,2019-12-02,2019-12-02,0.01,127.2917767,37.4004581,인근좌표
12,11,경기광주,2019-12-28,2019-12-28,0.33,127.2917767,37.4004581,인근좌표
13,12,경기포천,2019-12-29,2019-12-29,0.01,127.237579,37.96766787,인근좌표
14,13,경기성남,2019-03-31,2019-03-31,0.01,127.1037334,37.43511843,인근좌표
15,14,경기남양주,2019-04-02,2019-04-02,0.05,127.2580035,37.64296989,인근좌표
16,15,경기가평,2019-04-02,2019-04-02,0.6,127.4076594,37.8112458,인근좌표
17,16,경기포천,2019-04-02,2019-04-02,1,127.237579,37.96766787,인근좌표
18,17,경기안성,2019-04-03,2019-04-03,0.05,127.3059003,37.02476089,인근좌표
19,18,경기가평,2019-04-03,2019-04-03,3.5,127.4076594,37.8112458,인근좌표
20,19,경기양평,2019-04-03,2019-04-03,0.14,127.5810959,37.51899594,인근좌표
21,20,경기포천,2019-04-04,2019-04-04,0.2,127.237579,37.96766787,인근좌표
22,21,경기파주,2019-04-04,2019-04-04,2,126.8077119,37.84944357,인근좌표
23,22,경기남양주,2019-04-04,2019-04-04,0.02,127.2580035,37.64296989,인근좌표
24,23,경기연천,2019-04-04,2019-04-04,0.3,127.0268198,38.08507414,인근좌표
25,24,경기용인,2019-04-04,2019-04-04,0.1,127.2400364,37.22209372,인근좌표
26,25,경기고양,2019-04-05,2019-04-05,1,126.8993676,37.66019018,인근좌표
27,26,경기고양,2019-04-07,2019-04-07,0.04,126.8993676,37.66019018,인근좌표
28,27,경기평택,2019-04-07,2019-04-07,0.01,127.0037131,37.02303199,인근좌표
29,28,경기이천,2019-04-08,2019-04-08,0.06,127.4520008,37.20146617,인근좌표
30,29,경기성남,2019-04-08,2019-04-08,0.6,127.1037334,37.43511843,인근좌표
31,30,경기안성,2019-04-08,2019-04-08,0.03,127.3059003,37.02476089,인근좌표
32,31,경기하남,2019-04-08,2019-04-08,0.09,127.2110935,37.5303375,인근좌표
33,32,경기평택,2019-04-09,2019-04-09,1.5,127.0037131,37.02303199,인근좌표
34,33,경기포천,2019-04-09,2019-04-09,0.16,127.237579,37.96766787,인근좌표
35,34,경기가평,2019-04-09,2019-04-09,0.7,127.4076594,37.8112458,인근좌표
36,35,경기양평,2019-04-13,2019-04-13,0.02,127.5810959,37.51899594,인근좌표
37,36,경기평택,2019-04-13,2019-04-13,0.03,127.0037131,37.02303199,인근좌표
38,37,경기남양주,2019-04-13,2019-04-13,0.06,127.2580035,37.64296989,인근좌표
39,38,경기고양,2019-04-15,2019-04-15,0.01,126.8993676,37.66019018,인근좌표
