,Column1,location_x,stdt,eddt,damagearea,경도,위도,상태,동두천,수원,양평,이천,파주,관측소,Unnamed: 0,location_y,date,avg_temp,min_temp,max_temp,rainfall,max_wind_speed,avg_wind
0,0,경기평택,2019-08-26,2019-08-26,0.01,127.0037131,37.02303199,인근좌표,False,True,False,False,False,수원,7417.0,수원,2019-08-26,25.6,20.1,31.0,0.0,4.4,1.2
1,1,경기포천,2019-09-29,2019-09-30,0.16,127.237579,37.96766787,인근좌표,True,False,False,False,False,동두천,2097.0,동두천,2019-09-29,19.7,14.5,27.3,0.0,2.3,0.8
2,2,경기평택,2019-10-12,2019-10-12,0.03,127.0037131,37.02303199,인근좌표,False,True,False,False,False,수원,7464.0,수원,2019-10-12,18.3,14.1,23.3,0.0,5.3,2.7
3,3,경기안양,2019-10-19,2019-10-19,0.01,126.9027706,37.40454384,인근좌표,False,True,False,False,False,수원,7471.0,수원,2019-10-19,16.0,10.4,22.2,0.0,3.7,1.2
4,4,경기가평,2019-11-07,2019-11-07,0.25,127.4076594,37.8112458,인근좌표,False,False,True,False,False,양평,10167.0,양평,2019-11-07,8.2,2.5,16.1,0.0,3.6,1.3
5,5,경기남양주,2019-11-09,2019-11-09,0.01,127.25800349999999,37.64296989,인근좌표,False,False,True,False,False,양평,10169.0,양평,2019-11-09,6.1,-1.3,15.9,0.0,3.0,0.7
6,6,경기성남,2019-11-21,2019-11-21,0.01,127.10373340000001,37.43511843,인근좌표,False,True,False,False,False,수원,7504.0,수원,2019-11-21,4.8,-3.2,9.9,0.0,3.2,1.1
7,7,경기양평,2019-11-28,2019-11-28,0.09,127.58109590000001,37.51899594,인근좌표,False,False,True,False,False,양평,10188.0,양평,2019-11-28,4.7,-0.5,11.3,0.0,2.4,0.9
8,8,경기광주,2019-11-28,2019-11-28,0.1,127.2917767,37.4004581,인근좌표,False,False,True,False,False,양평,10188.0,양평,2019-11-28,4.7,-0.5,11.3,0.0,2.4,0.9
9,9,경기파주,2019-11-29,2019-11-29,0.01,126.8077119,37.84944357,인근좌표,False,False,False,False,True,파주,4835.0,파주,2019-11-29,-1.5,-7.5,7.0,0.0,2.3,0.7
10,10,경기광주,2019-12-02,2019-12-02,0.01,127.2917767,37.4004581,인근좌표,False,False,True,False,False,양평,10192.0,양평,2019-12-02,1.6,-2.3,5.0,0.0,6.7,2.8
11,11,경기광주,2019-12-28,2019-12-28,0.33,127.2917767,37.4004581,인근좌표,False,False,True,False,False,양평,10218.0,양평,2019-12-28,-1.3,-7.0,4.8,0.0,3.3,0.8
12,12,경기포천,2019-12-29,2019-12-29,0.01,127.237579,37.96766787,인근좌표,True,False,False,False,False,동두천,2188.0,동두천,2019-12-29,2.8,-1.0,7.6,0.1,3.1,0.6
13,13,경기성남,2019-03-31,2019-03-31,0.01,127.10373340000001,37.43511843,인근좌표,False,True,False,False,False,수원,7269.0,수원,2019-03-31,4.7,2.6,9.0,0.5,7.5,3.7
14,14,경기남양주,2019-04-02,2019-04-02,0.05,127.25800349999999,37.64296989,인근좌표,False,False,True,False,False,양평,9948.0,양평,2019-04-02,5.7,-2.8,13.1,0.0,5.7,1.9
15,15,경기가평,2019-04-02,2019-04-02,0.6,127.4076594,37.8112458,인근좌표,False,False,True,False,False,양평,9948.0,양평,2019-04-02,5.7,-2.8,13.1,0.0,5.7,1.9
16,16,경기포천,2019-04-02,2019-04-02,1.0,127.237579,37.96766787,인근좌표,True,False,False,False,False,동두천,1917.0,동두천,2019-04-02,5.2,-2.8,14.2,0.0,7.5,1.9
17,17,경기안성,2019-04-03,2019-04-03,0.05,127.3059003,37.02476089,인근좌표,False,False,False,True,False,이천,12626.0,이천,2019-04-03,6.4,-3.2,14.7,0.0,4.9,2.1
18,18,경기가평,2019-04-03,2019-04-03,3.5,127.4076594,37.8112458,인근좌표,False,False,True,False,False,양평,9949.0,양평,2019-04-03,6.4,-1.9,14.4,0.0,5.0,1.8
