,location,date,avg_temp,min_temp,max_temp,rainfall,max_wind_speed,avg_wind
0,동두천,2014-01-01,2.7,-2.7,7.1,0.0,7.9,2.6
1,동두천,2014-01-02,0.4,-4.3,6.5,0.0,3.8,1.2
2,동두천,2014-01-03,0.1,-4.2,5.8,0.0,2.7,1.0
3,동두천,2014-01-04,-1.1,-5.5,4.6,0.0,3.5,1.7
4,동두천,2014-01-05,-2.0,-6.5,4.0,0.0,4.2,1.1
5,동두천,2014-01-06,-1.2,-7.5,6.4,0.0,2.8,1.0
6,동두천,2014-01-07,1.6,-2.0,5.8,0.0,2.3,0.7
7,동두천,2014-01-08,-0.2,-6.4,4.0,0.3,5.4,2.5
8,동두천,2014-01-09,-8.2,-11.4,-3.1,0.0,6.6,3.1
9,동두천,2014-01-10,-7.0,-12.2,0.8,0.0,4.4,1.0
10,동두천,2014-01-11,-3.4,-9.0,3.5,0.0,4.4,1.2
11,동두천,2014-01-12,-4.0,-8.4,3.6,0.0,6.7,2.3
12,동두천,2014-01-13,-7.6,-13.3,-0.4,0.0,4.0,1.2
13,동두천,2014-01-14,-6.1,-12.8,1.5,0.0,4.0,1.3
14,동두천,2014-01-15,-5.0,-11.4,2.7,0.0,5.1,1.3
15,동두천,2014-01-16,-1.9,-5.9,2.6,0.0,1.7,0.6
16,동두천,2014-01-17,-2.6,-7.6,3.5,0.0,1.8,0.8
17,동두천,2014-01-18,-3.1,-6.4,2.1,0.0,7.5,2.5
18,동두천,2014-01-19,-3.8,-10.9,2.7,0.0,4.4,1.2
19,동두천,2014-01-20,-1.8,-4.4,1.8,4.3,6.0,1.9
20,동두천,2014-01-21,-6.6,-10.1,-2.8,0.0,3.7,1.3
21,동두천,2014-01-22,-5.5,-13.6,1.5,0.0,3.0,1.0
22,동두천,2014-01-23,-2.2,-9.0,3.6,0.0,3.0,0.8
23,동두천,2014-01-24,3.0,-1.9,6.4,0.0,3.8,1.4
